depth_target,algorithm,runs,solved,avg_iterations,avg_max_open,avg_open_end,avg_max_memory,avg_elapsed_time,avg_path_length
2,A*(h1) - Misplaced Tiles,3,3,5.666666666666667,27.333333333333332,26.333333333333332,32.0,0.0001577333411357055,2.0
2,A*(h2) - Manhattan Distance,3,3,9.0,42.666666666666664,41.666666666666664,50.666666666666664,0.0012254999892320484,2.0
2,BFS,3,3,30.0,96.0,94.33333333333333,124.33333333333333,0.00040046666011524695,2.0
2,IDDFS,3,3,52.0,3.0,0.0,3.0,0.00010803334104518096,2.0
4,A*(h1) - Misplaced Tiles,3,3,55.0,163.0,162.0,217.0,0.0012695333280134946,4.0
4,A*(h2) - Manhattan Distance,3,3,104.66666666666667,250.0,249.0,353.6666666666667,0.013503499988776943,4.0
4,BFS,3,3,382.3333333333333,441.0,435.3333333333333,817.6666666666666,0.004874133330304176,4.0
4,IDDFS,3,3,4336.0,5.0,0.0,5.0,0.00548493333432513,4.0
6,A*(h1) - Misplaced Tiles,3,3,352.6666666666667,564.3333333333334,563.3333333333334,916.0,0.007879399995241934,6.0
6,A*(h2) - Manhattan Distance,3,3,649.6666666666666,638.0,605.6666666666666,1255.3333333333333,0.07909166666407448,6.0
6,BFS,3,3,1586.6666666666667,637.6666666666666,185.66666666666666,1772.3333333333333,0.019115633331239223,6.0
6,IDDFS,3,3,1220756.0,7.0,0.0,7.0,1.538482033337156,6.0
8,A*(h1) - Misplaced Tiles,3,3,1308.6666666666667,654.6666666666666,419.6666666666667,1728.3333333333333,0.02705130000443508,8.0
8,A*(h2) - Manhattan Distance,3,3,1558.0,662.6666666666666,230.66666666666666,1788.6666666666667,0.1668534000054933,8.0
8,BFS,3,3,1818.6666666666667,551.0,1.3333333333333333,1820.0,0.021255400012402486,8.0
8,IDDFS,3,3,127260441.66666667,9.0,0.0,9.0,165.67504870000025,8.0
10,A*(h1) - Misplaced Tiles,3,3,1696.6666666666667,551.6666666666666,117.66666666666667,1814.3333333333333,0.03289586665535656,10.0
10,A*(h2) - Manhattan Distance,3,3,1781.6666666666667,557.0,36.333333333333336,1818.0,0.16820963332429528,10.0
10,BFS,3,3,1819.0,455.3333333333333,1.0,1820.0,0.021625900000799447,10.0
