task_id,rows,cols,depth_target,depth_opt,algorithm,solved,path_length,iterations,max_open,open_end,max_memory,elapsed_time_sec,seed,start_state,goal_state
12,4,4,8,8,A*(h1) - Misplaced Tiles,False,8,1405,629,333,1738,0.027948400005698204,685744792,0000/1000/0110/0100,1111/0000/0000/0000
12,4,4,8,8,A*(h2) - Manhattan Distance,False,8,1612,684,175,1787,0.1738527000125032,685744792,0000/1000/0110/0100,1111/0000/0000/0000
10,4,4,8,8,BFS,False,8,1820,571,0,1820,0.021205400000326335,1463717239,0000/0100/0011/0010,1111/0000/0000/0000
10,4,4,8,8,IDDFS,False,8,124257168,9,0,9,161.38595409999834,1463717239,0000/0100/0011/0010,1111/0000/0000/0000
10,4,4,8,8,A*(h1) - Misplaced Tiles,False,8,1422,665,346,1768,0.030842200008919463,1463717239,0000/0100/0011/0010,1111/0000/0000/0000
10,4,4,8,8,A*(h2) - Manhattan Distance,False,8,1629,687,167,1796,0.18037420001928695,1463717239,0000/0100/0011/0010,1111/0000/0000/0000
11,4,4,8,8,BFS,False,8,1819,534,1,1820,0.02115860002231784,222915915,0001/0000/0101/1000,1111/0000/0000/0000
11,4,4,8,8,IDDFS,False,8,169693851,9,0,9,222.542947000009,222915915,0001/0000/0101/1000,1111/0000/0000/0000
11,4,4,8,8,A*(h1) - Misplaced Tiles,False,8,1099,670,580,1679,0.02236329999868758,222915915,0001/0000/0101/1000,1111/0000/0000/0000
11,4,4,8,8,A*(h2) - Manhattan Distance,False,8,1433,617,350,1783,0.1463332999846898,222915915,0001/0000/0101/1000,1111/0000/0000/0000
13,4,4,10,10,BFS,False,10,1820,452,0,1820,0.022434799990151078,1621757232,0000/0001/0000/0111,1111/0000/0000/0000
13,4,4,10,10,IDDFS,False,-,-,-,-,-,250,1621757232,0000/0001/0000/0111,1111/0000/0000/0000
13,4,4,10,10,A*(h1) - Misplaced Tiles,False,10,1688,549,126,1814,0.03352549998089671,1621757232,0000/0001/0000/0111,1111/0000/0000/0000
13,4,4,10,10,A*(h2) - Manhattan Distance,False,10,1777,548,40,1817,0.16536069998983294,1621757232,0000/0001/0000/0111,1111/0000/0000/0000
14,4,4,10,10,BFS,False,10,1818,457,2,1820,0.0212967999977991,28325487,0000/1000/0000/1011,1111/0000/0000/0000
14,4,4,10,10,IDDFS,False,-,-,-,-,-,250,28325487,0000/1000/0000/1011,1111/0000/0000/0000
14,4,4,10,10,A*(h1) - Misplaced Tiles,False,10,1714,557,101,1815,0.03279259998816997,28325487,0000/1000/0000/1011,1111/0000/0000/0000
14,4,4,10,10,A*(h2) - Manhattan Distance,False,10,1791,575,29,1820,0.1725027000065893,28325487,0000/1000/0000/1011,1111/0000/0000/0000
15,4,4,10,10,BFS,False,10,1819,457,1,1820,0.021146100014448166,438244379,0000/1000/0000/1110,1111/0000/0000/0000
15,4,4,10,10,IDDFS,False,-,-,-,-,-,250,438244379,0000/1000/0000/1110,1111/0000/0000/0000
15,4,4,10,10,A*(h1) - Misplaced Tiles,False,10,1688,549,126,1814,0.032369499997003004,438244379,0000/1000/0000/1110,1111/0000/0000/0000
15,4,4,10,10,A*(h2) - Manhattan Distance,False,10,1777,548,40,1817,0.16676549997646362,438244379,0000/1000/0000/1110,1111/0000/0000/0000
